id,number
12972,11
69924,4
398314,4
201696,3
577177,1
147524,1
82814,1
1130,2
759704,1
592655,1
147998,1
248904,1
116509,1
120094,2
240925,1
96674,1
114159,1
469704,1
264795,1
760339,1
516450,1
541729,1
762124,1
759706,1
762889,1
762890,1
762891,1
762892,1
762893,1
762894,1
762895,1
762896,1
762897,1
762898,1
762899,1
762900,1
762901,1
549200,1
630,18
1856,3
6683,1
6767,1
2768,6
18271,1
1852,1
87021,1
87022,1
171250,1
183400,1
183402,1
40434,1
15018,1
16491,1
183403,1
183404,1
19358,4
17408,1
133900,3
108788,1
54650,3
97034,1
3467,2
23329,1
33239,1
120632,1
136559,1
108625,1
121123,1
110032,1
172414,1
125997,1
40075,1
65825,1
130330,1
108779,1
172410,1
152734,2
144085,1
136558,1
181164,1
180947,1
180948,1
123516,1
156739,1
97635,6
7982,5
6322,1
29767,1
579500,1
616271,3
648110,1
877734,1
871618,1
972858,1
972859,1
972656,1
972860,2
972861,1
18069,5
12302,10
1192,15
1825,4
1793,4
19157,9
51369,3
1196,6
29402,3
22407,3
70779,3
549,3
3425,4
16217,6
5449,1
21589,3
125720,1
40489,1
115079,1
192066,1
108405,1
44634,3
132804,1
1514,1
108000,1
47253,3
15281,1
97880,3
136050,1
121006,1
193109,1
116309,1
180285,1
124734,1
109947,1
46830,1
46908,1
42940,2
107301,1
121238,1
17407,1
110464,1
193110,2
193111,1
103370,3
165165,1
127272,1
193112,1
193113,1
193114,1
193115,1
193116,1
193117,1
193118,1
193119,1
193120,1
193121,1
193122,1
126051,1
46780,2
62911,2
107395,1
193123,1
115802,1
193124,1
193125,1
43490,2
35668,1
25319,3
13593,2
14621,1
6786,1
100613,1
100614,1
76742,2
80898,1
134864,1
32561,1
20950,1
444411,2
46687,4
68,3
6693,4
610543,1
786533,2
40179,2
226163,5
261433,1
733409,1
17346,2
4966,5
29414,2
92,4
828829,3
81811,1
220944,1
32365,2
749612,1
642653,1
509581,1
188896,3
66456,1
69473,4
3052,4
91323,1
168142,1
542766,1
103090,1
515542,1
223596,1
943113,1
770036,1
874809,2
945430,1
941511,1
523194,1
156506,1
1012377,2
635,1
3172,4
3173,3
3174,1
398,6
1377,3
1469,1
6552,1
1336,2
11225,2
591,2
10704,1
11023,3
64960,1
80850,1
100624,1
132008,1
142141,1
177714,1
65146,1
59806,1
629,1
53994,1
429960,1
436825,1
441018,1
448335,1
474569,1
577,7
3372,1
3866,2
1270,1
52554,1
6999,1
95342,1
95344,1
11851,1
437821,1
33228,1
30144,1
97879,1
8933,1
11952,2
3699,1
22406,1
46731,1
47056,2
47578,1
52838,1
78272,1
89789,1
107945,1
108950,1
110630,1
116027,1
118367,1
119518,2
267065,1
121596,3
117832,1
131431,1
132850,1
160575,1
163939,2
179801,1
179802,1
225585,1
229207,2
433531,1
433532,1
433534,1
433535,1
436795,1
440529,1
448407,1
449195,1
463660,1
464350,1
460244,1
456675,1
463123,1
469157,1
466681,1
467788,1
484269,1
11732,1
27613,6
613,1
52953,1
34598,1
113762,1
217290,1
217295,1
217298,1
217300,1
217302,1
18986,3
217304,1
170808,1
217306,1
110279,1
217308,1
60740,1
113275,2
25558,1
58129,1
238541,1
223503,1
109510,1
118477,1
222656,2
117851,1
114110,1
110100,1
43993,2
109687,1
124376,1
166986,1
188078,1
111251,1
216193,1
157219,2
59203,1
168662,1
143705,1
197059,1
21362,1
121289,1
41735,2
218199,1
231093,1
248389,1
249643,1
252907,1
415047,1
420079,1
431321,1
431330,1
431332,1
431335,1
431689,1
431690,1
431703,1
431704,1
433134,1
433779,1
447270,1
449393,1
476365,1
472827,1
462067,2
476496,1
111488,1
63635,3
49160,1
109405,1
111104,1
121293,1
151754,1
438903,1
862708,1
80927,3
30279,3
862149,1
865035,1
46797,2
3081,2
767882,1
830137,1
870525,1
894883,1
105050,1
857283,1
480057,1
967804,1
875655,1
967803,1
954813,1
969004,1
916226,1
926498,1
967222,1
967221,1
949436,1
923701,1
968341,1
955727,1
800852,1
829919,1
836404,1
747725,1
969005,1
974912,1
606094,1
974914,1
974915,1
974916,1
126599,2
609992,1
963241,1
178113,1
974918,1
144004,2
965628,1
996700,1
424712,1
1000002009,1
1000009012,1
702727,1
941645,1
809850,1
1000009013,1
894050,1
4952,1
4953,1
154995,1
4954,1
28603,1
161680,1
4955,1
103402,1
134859,1
398606,1
45352,1
397434,1
405983,1
398171,1
5711,1
398605,1
879169,1
256970,1
3435,2
1854,4
3436,2
482,2
3752,1
23853,2
6780,2
94850,1
69148,1
94851,1
94852,1
18078,1
14092,3
1194,2
623106,3
12444,1
118858,1
15956,3
27198,1
3427,4
55445,1
75162,1
153969,1
46655,1
162289,1
67673,1
9948,1
67521,2
79674,2
255807,1
541735,1
16072,1
541736,1
218508,1
87087,1
44555,1
65113,1
541739,1
105,1
3709,1
328,3
1532,3
11235,1
65940,2
4116,2
512,8
137923,1
65174,2
2823,2
914866,1
37480,1
35968,1
150554,1
149175,1
150553,2
705822,1
421442,1
104816,1
859646,2
764982,1
38762,1
905504,1
660567,2
840435,1
583533,2
678995,1
434904,1
784337,1
602351,2
666890,1
862920,1
1000022021,1
222,5
67548,1
211,1
7166,1
10824,2
5822,2
4927,1
3634,1
85250,1
142230,1
137218,1
130392,1
7087,2
4504,4
70660,1
179331,4
18923,2
129990,2
41339,3
525100,2
20175,6
12217,1
406211,1
150348,1
212921,1
23923,1
229450,1
559199,2
98257,1
72966,1
683387,1
212367,2
82216,1
804416,1
530132,1
786655,1
728555,1
94325,1
3672,1
7003,1
13257,1
10718,1
211100,1
81094,1
42108,1
146185,1
264996,1
13258,1
3673,1
13259,1
1333,1
197583,1
255051,1
2158,1
68739,3
94668,1
134283,1
435590,1
97332,1
239519,1
92919,2
435677,1
479286,1
134508,1
239518,1
175387,1
474159,1
464527,1
15683,1
6448,3
2026,4
17765,7
82577,1
154504,4
424174,1
88519,1
36326,1
237704,2
634990,2
565767,3
155726,5
168106,1
178772,3
136323,2
95758,2
612577,1
414092,1
580786,1
580796,1
580797,1
634991,1
634992,1
90453,2
649387,1
463025,1
252067,1
135371,1
221330,3
968042,1
78818,1
533908,2
44058,1
519650,1
874584,1
776295,2
55636,3
1022994,1
1022995,1
983719,1
1022996,1
1022998,1
436897,2
459140,1
1023000,1
1023001,1
1023002,1
1023003,1
1023004,1
1023005,1
1023006,1
639760,1
1023007,1
1023008,1
1023009,1
1023010,1
1023011,1
1023012,1
1023013,1
1005871,1
1023014,1
1023015,1
1023021,1
1023023,1
1023024,1
1000006749,1
947973,1
698084,1
8,9
87400,1
5293,4
18216,1
482165,1
454664,1
107254,1
113841,2
855758,1
13992,1
892352,1
200329,1
61895,1
40054,1
115540,2
123206,1
203286,2
104905,4
94145,1
124292,1
19686,2
207902,1
889863,1
928291,1
928292,1
1007839,1
1007840,1
1007842,1
1007862,1
433883,1
445787,1
881092,1
949876,1
15,1
16,1
669,1
6858,1
5580,2
7184,1
25202,1
30930,1
7115,1
17,4
66795,1
84887,1
2435,1
212,2
2436,1
2437,2
2438,1
2439,1
7484,1
684,1
210,1
591141,1
591142,1
591136,1
591137,1
86999,1
591138,1
591139,1
591140,1
623826,1
2374,7
893658,1
425569,1
100430,1
858278,1
654114,1
1000010940,1
1000010939,1
1000010938,1
151805,1
656075,1
18856,4
2349,12
8402,5
16472,3
3037,2
25938,4
17615,3
11217,3
2315,2
13775,1
96106,2
1554,2
39536,5
43358,1
95898,2
202194,1
141361,1
138639,1
202222,1
202224,1
146020,2
408679,3
95990,2
89360,3
95909,2
95952,2
95877,1
202218,1
202219,1
202220,1
202225,1
202227,1
191,7
631,1
632,1
184,1
722,4
5053,2
2592,3
3816,2
101,4
66061,1
1578,2
2757,1
17524,1
22581,1
79117,1
21446,1
41439,1
437698,1
402945,1
476111,1
462243,1
462578,1
453442,1
1659,13
17581,3
66295,1
3914,3
45734,6
14554,1
18170,1
12327,1
38934,2
40407,1
50694,1
72061,1
549518,2
166412,1
22083,2
50598,1
102774,2
200888,1
408037,1
408038,2
408039,1
408042,1
408043,1
408044,1
408045,1
408046,1
408047,1
249755,1
408041,1
32807,1
1011028,1
1027372,1
1027373,1
1027374,1
1011030,1
1011033,1
1011031,1
1027376,1
956320,1
1000002768,1
1000002769,1
1000002770,1
1000002771,1
1000002772,1
1000002773,1
1000002774,1
171205,1
974647,1
96047,1
70732,2
22426,2
194500,2
20176,4
724708,1
575391,1
647368,1
932075,1
4622,3
19036,1
461879,1
20423,2
164517,1
743915,1
914339,1
236822,3
178916,2
214265,2
43132,1
1000032656,1
94763,1
1000014882,1
1000032657,1
1000032658,1
1000014883,1
1016732,1
12024,4
5894,4
1794,3
21360,3
26078,4
6233,2
11850,3
231653,1
51474,1
492214,1
492215,1
433059,1
492216,1
492217,1
484815,2
492218,1
492219,1
178089,1
492220,1
492221,1
492222,1
492223,1
492224,2
492225,1
492226,1
501736,1
157085,1
165627,1
27050,1
132102,1
163466,1
46304,1
501737,1
230160,1
79883,2
242322,1
84552,1
501738,2
67704,1
3651,1
145777,1
433247,1
501739,1
137567,1
501740,1
21625,5
7248,1
5726,1
12025,1
21626,1
765,1
93578,1
15246,2
2345,2
64939,1
48581,1
5067,1
14764,2
61886,1
89215,1
90774,1
98252,1
109939,1
114677,1
117765,1
127586,1
137800,1
166261,1
249414,1
124989,1
229384,1
269003,1
411375,1
429578,1
429579,1
429580,1
429581,1
447616,1
448734,1
480922,1
482512,1
473631,1
466657,1
7517,1
757,2
11488,4
18390,1
7519,1
15005,1
19038,3
58128,1
17786,1
23205,1
80156,2
94249,1
66104,1
56959,1
18389,1
94248,1
94250,1
94251,1
148856,1
134180,1
132978,1
1335,1
144328,1
29377,1
42615,1
132290,1
18838,2
76460,1
79436,1
29288,1
7726,1
22854,1
47128,1
85402,1
96275,1
107264,1
134253,1
160923,1
166963,1
175525,1
189368,2
192593,1
201268,1
227673,1
420490,1
433757,1
433762,1
444107,1
451239,1
847463,1
135253,2
14742,3
181223,1
538478,1
830361,1
499955,1
715151,1
752053,1
590100,2
267145,2
499476,1
548917,3
937685,1
1000015613,1
942751,1
994283,1
942486,1
9213,2
59624,1
17425,1
9765,5
40393,5
69583,1
18065,1
27896,1
144100,2
141089,1
128924,2
168845,1
