id,title,duration,genres,year,countries,press rating,spectator rating,actors,directors,poster
182266,The Revenant,156,"[13001, 13019]",2015,"['U.S.A.', 'Ta\\u00efwan', 'Hong-Kong']",3.8,4.3,"[12972, 69924, 398314, 201696, 577177, 147524, 82814, 1130, 759704, 592655, 147998, 248904, 116509, 120094, 240925, 96674, 114159, 469704, 264795, 760339, 516450, 541729, 762124, 759706, 762889, 762890, 762891, 762892, 762893, 762894, 762895, 762896, 762897, 762898, 762899, 762900, 762901, 549200]",[35365],https://fr.web.img3.acsta.net/pictures/15/11/10/09/30/165611.jpg
2642,Sous le soleil de Satan,103,[13008],1987,['France'],,3.0,"[630, 1856, 6683, 6767, 2768, 18271, 1852, 87021, 87022, 171250, 183400, 183402, 40434, 15018, 16491, 183403, 183404]",[1852],https://fr.web.img2.acsta.net/pictures/21/07/06/13/45/3741497.jpg
54098,À la recherche du bonheur,118,"[13027, 13008]",2007,['U.S.A.'],3.0,4.0,"[19358, 17408, 133900, 108788, 54650, 97034, 3467, 23329, 33239, 120632, 136559, 108625, 121123, 110032, 172414, 125997, 40075, 65825, 130330, 108779, 172410, 152734, 144085, 136558, 181164, 180947, 180948, 123516, 156739]",[32370],https://fr.web.img2.acsta.net/medias/nmedia/18/62/89/48/18708437.jpg
290439,Revoir Paris,105,[13008],2022,['France'],4.0,4.0,"[97635, 7982, 6322, 29767, 579500, 616271, 648110, 877734, 871618, 972858, 972859, 972656, 972860, 972861]",[123112],https://fr.web.img3.acsta.net/pictures/22/07/12/09/57/4936851.jpg
109635,Ocean's 13,122,"[13005, 13002, 13018, 13023]",2007,['U.S.A.'],2.4,3.3,"[18069, 12302, 1192, 1825, 1793, 19157, 51369, 1196, 29402, 22407, 70779, 549, 3425, 16217, 5449, 21589, 125720, 40489, 115079, 192066, 108405, 44634, 132804, 1514, 108000, 47253, 15281, 97880, 136050, 121006, 193109, 116309, 180285, 124734, 109947, 46830, 46908, 42940, 107301, 121238, 17407, 110464, 193110, 193111, 103370, 165165, 127272, 193112, 193113, 193114, 193115, 193116, 193117, 193118, 193119, 193120, 193121, 193122, 126051, 46780, 62911, 107395, 193123, 115802, 193124, 193125, 43490, 35668]",[11732],https://fr.web.img5.acsta.net/medias/nmedia/18/63/76/93/18771134.jpg
50581,Ocean's Twelve,125,"[13005, 13018, 13023]",2004,['U.S.A.'],3.9,3.3,"[18069, 12302, 1192, 25319, 1793, 19157, 51369, 13593, 1196, 29402, 16217, 22407, 549, 3425, 44634, 14621, 6786, 21589, 100613, 100614, 76742, 80898, 134864, 32561, 97880, 20950, 444411, 46687, 68, 6693, 70779, 610543]",[11732],https://fr.web.img2.acsta.net/medias/nmedia/18/35/29/69/18392396.jpg
273621,Illusions Perdues,150,"[13008, 13015]",2021,['France'],4.0,4.3,"[786533, 40179, 226163, 261433, 733409, 17346, 630, 4966, 29414, 92, 828829, 81811, 220944, 32365, 749612, 642653, 509581, 188896, 66456, 69473, 3052, 91323, 168142, 542766, 103090, 515542, 223596, 943113, 770036, 874809, 945430, 941511, 523194, 156506, 1012377]",[22258],https://fr.web.img6.acsta.net/pictures/21/08/19/11/37/0523511.jpg
62178,Les 400 coups,100,[13008],1959,['France'],4.5,4.2,"[635, 3172, 3173, 3174, 398, 1377, 1469, 6552, 1336, 11225, 591, 10704, 11023, 64960, 80850, 100624, 132008, 142141, 177714, 65146, 59806, 629, 53994, 429960, 436825, 441018, 448335, 474569]",[629],https://fr.web.img2.acsta.net/pictures/21/10/28/16/37/5168562.jpg
1352,Little Big Man,139,"[13001, 13019]",1971,['U.S.A.'],,4.3,"[577, 3372, 3866, 1270, 52554, 6999, 95342, 95344, 11851, 437821]",[1338],https://fr.web.img6.acsta.net/pictures/16/06/30/14/29/221991.jpg
26857,Ocean's Eleven,117,"[13005, 13031, 13023]",2002,['U.S.A.'],4.2,4.0,"[18069, 12302, 13593, 1192, 1793, 19157, 1196, 29402, 3425, 549, 51369, 22407, 70779, 44634, 33228, 30144, 97879, 8933, 11952, 46687, 97880, 3699, 22406, 46731, 47056, 47578, 52838, 78272, 89789, 107945, 108950, 110630, 116027, 118367, 119518, 267065, 121596, 117832, 131431, 132850, 160575, 163939, 179801, 179802, 225585, 229207, 433531, 433532, 433534, 433535, 436795, 440529, 448407, 449195, 463660, 464350, 460244, 456675, 463123, 469157, 466681, 467788, 484269, 11732]",[11732],https://fr.web.img6.acsta.net/medias/nmedia/00/02/33/84/aff11.jpg
