id,title,duration,genres,year,countries,press rating,spectator rating,actors,directors,poster
323024,Anora,139,[13002],2024,['U.S.A.'],4.2,3.9,"[780788, 692438, 242186, 892434, 571159, 674775, 235959, 206067, 1000002268, 1000002272, 1011119, 1000002267, 1000002273, 1000002275, 954263, 901764, 1000002270, 1000007056]",[234092],https://fr.web.img3.acsta.net/img/57/f5/57f59edffeefc86a6b21da2053df244f.jpg
296168,Oppenheimer,181,"[13027, 13015, 13023]",2023,['U.S.A.'],3.8,4.3,"[69081, 123054, 1192, 10976, 705743, 8766, 1196, 135438, 1792, 114998, 22916, 136292, 222248, 752, 241934, 534493, 153391, 264852, 126993, 13451, 50608, 408347, 232411, 4012, 535, 518804, 770574, 12581, 88814, 454530, 268628, 178917, 32566, 176087, 172545, 157785, 79380, 983194, 181725, 79156, 990911, 178610, 104934, 552048, 107561, 431604, 79590, 104548, 73805, 720336, 229817, 107558, 114176, 722053, 669235, 152853, 512922, 120631, 882448, 787800, 96290, 741662, 111362, 1000647]",[30367],https://fr.web.img5.acsta.net/pictures/23/05/26/16/52/2793170.jpg
270743,Everything Everywhere All at Once,139,"[13025, 13005, 13008, 13016, 13021]",2022,['U.S.A.'],3.9,3.6,"[15189, 83117, 36517, 796041, 1905, 698248, 415801, 426544, 237372, 755908, 199808, 110859, 765486, 189631, 451532, 971555]","[607370, 739533]",https://fr.web.img6.acsta.net/pictures/22/06/14/16/36/2606624.jpg
276170,CODA,111,[13008],2021,"['U.S.A.', 'France']",3.2,3.7,"[533004, 4536, 217894, 108354, 666355, 666533, 39758, 183210, 91630, 692099, 763745, 493870, 219096, 493875, 931597, 461806, 460925]",[113991],https://fr.web.img2.acsta.net/pictures/21/06/24/14/11/3793608.jpg
271687,Nomadland,108,[13008],2021,['U.S.A.'],4.2,3.9,"[1029, 15239, 926117, 865796, 865797, 926118, 748628, 926517, 926519, 926521, 926522, 926524, 926527, 926529, 441900, 926531, 926532, 926533, 926536, 926537, 926538, 926539, 926540, 926542, 926543, 926544, 926545, 926546, 926547, 715280, 832963, 926550, 926708, 926709, 926710, 926442, 714667, 926711, 926712, 926714, 926715, 926716, 926717, 926718, 926719, 926720, 108812, 926723]",[714671],https://fr.web.img5.acsta.net/pictures/21/04/29/09/49/2883699.jpg
255238,Parasite,132,"[13008, 13023]",2019,['Cor\\u00e9e du Sud'],4.8,4.5,"[68739, 746355, 750703, 229238, 874786, 229006, 874791, 874793, 746445, 816470, 527151, 874787]",[95119],https://fr.web.img6.acsta.net/pictures/20/02/12/13/58/3992754.jpg
256661,Green Book : Sur les routes du sud,130,"[13027, 13008]",2019,['U.S.A.'],4.0,4.5,"[14369, 104746, 65960, 765819, 673213, 120337, 104315, 828225, 80458, 125214, 108872, 448948, 108638, 792453, 54006, 426943, 112889, 537786, 229373, 115300, 751224, 787266, 854281, 192932, 784017, 103978, 667047, 125398, 129929, 459353, 168160, 593912, 475040, 181427, 846651, 220274, 583533, 660567, 188586, 442191, 980926]",[21977],https://fr.web.img5.acsta.net/pictures/19/02/25/17/06/0818764.jpg
246009,La Forme de l'eau - The Shape of Water,123,"[13008, 13012, 13024]",2018,['U.S.A.'],4.1,3.8,"[83617, 61755, 6810, 118517, 163572, 92578, 17714, 41716, 162891, 32417, 104385, 104614, 89644, 16776, 586176, 133920, 128931, 257070, 815135, 782552, 439982, 734820, 815139, 815136, 779134]",[18940],https://fr.web.img4.acsta.net/pictures/18/03/06/09/10/1293980.jpg
242054,Moonlight,111,[13008],2017,['U.S.A.'],4.2,4.0,"[783556, 649328, 699586, 104746, 669177, 92692, 221498, 781537, 735069, 783555]",[41464],https://fr.web.img2.acsta.net/pictures/17/03/02/11/56/134486.jpg
222271,Spotlight,128,"[13018, 13008]",2016,['U.S.A.'],4.0,4.2,"[11657, 25190, 81263, 24789, 46807, 488242, 15495, 3195, 18078, 112567, 116645, 748366, 223131, 763503, 178486, 182880, 748367, 554953, 15229, 63636, 748362, 763504, 137042, 107830, 116314, 748371, 94298, 122448, 136178, 67852, 748375, 107735, 399024, 131532, 462725, 117533, 748379, 118965, 748365, 259915, 726889, 469947, 138415, 763761, 763762, 235195, 250883, 76827, 420861, 480518, 748377, 748378, 122272, 730865, 134903, 405841, 201238, 763766, 481825, 156221, 657760, 748361, 748363, 748364, 455868, 728935, 733920, 748374, 691389, 467563, 748369, 733934, 689612, 600586, 748373, 748376]",[94775],https://fr.web.img4.acsta.net/pictures/16/01/21/16/04/118433.jpg
