id,title,duration,genres,year,countries,press rating,spectator rating,actors,directors,poster
1000022814,Un simple accident,101,[13008],2025,"['France', 'Luxembourg', 'Iran']",,,"[970246, 857962, 947484, 1000042708, 1000042709, 1000042710]",[21762],https://fr.web.img5.acsta.net/img/30/8e/308ef3af55afde25cb11dc7e63998a90.jpg
323024,Anora,139,[13002],2024,['U.S.A.'],4.2,3.9,"[780788, 692438, 242186, 892434, 571159, 674775, 235959, 206067, 1000002268, 1000002272, 1011119, 1000002267, 1000002273, 1000002275, 954263, 901764, 1000002270, 1000007056]",[234092],https://fr.web.img3.acsta.net/img/57/f5/57f59edffeefc86a6b21da2053df244f.jpg
297303,Anatomie d’une chute,151,"[13018, 13008, 13031, 13023]",2023,['France'],4.5,4.2,"[140889, 947251, 134347, 734925, 201763, 133408, 140184, 512001, 2081, 850254, 844285, 195145, 616271, 589090, 865140, 975803, 426158, 172073, 899632]",[187447],https://fr.web.img6.acsta.net/pictures/24/03/01/10/28/1051187.jpg
256851,Sans filtre,149,"[13005, 13008]",2022,"['Su\\u00e8de', 'Allemagne', 'France', 'Danemark']",3.2,3.8,"[795445, 718512, 4062, 716322, 55191, 237196, 23482, 897907, 187490, 152376, 60217, 797362, 198987, 897908, 618706, 597957, 921643, 914110, 937443, 522816]",[225785],https://fr.web.img5.acsta.net/pictures/22/08/29/17/22/0398756.jpg
277192,Titane,108,"[13008, 13009, 13023]",2021,"['France', 'Belgique']",3.6,2.6,"[6417, 774903, 559502, 870055, 615205, 28633, 19154, 827833, 892900, 773335, 22251, 926132, 869871, 809431, 938326]",[518391],https://fr.web.img3.acsta.net/pictures/21/07/28/16/27/4449800.jpg
255238,Parasite,132,"[13008, 13023]",2019,['Cor\\u00e9e du Sud'],4.8,4.5,"[68739, 746355, 750703, 229238, 874786, 229006, 874791, 874793, 746445, 816470, 527151, 874787]",[95119],https://fr.web.img6.acsta.net/pictures/20/02/12/13/58/3992754.jpg
262694,Une Affaire de famille,121,[13008],2018,['Japon'],4.5,4.2,"[222763, 412495, 662970, 99678, 444644, 430953, 92457, 676582, 476588, 28546, 211205, 852500, 840898, 840899]",[30076],https://fr.web.img6.acsta.net/pictures/18/06/01/14/20/3937174.jpg
248683,The Square,142,[13002],2017,"['Su\\u00e8de', 'Allemagne', 'Danemark', 'France']",3.2,3.4,"[221848, 30609, 33032, 156118, 476492, 143711, 642597, 810688, 810692, 507301, 810690, 810693, 814490, 795151, 466587]",[225785],https://fr.web.img2.acsta.net/pictures/17/09/20/12/39/1297137.jpg
241697,"Moi, Daniel Blake",101,[13008],2016,"['Grande-Bretagne', 'France', 'Belgique']",4.0,4.2,"[754724, 673624, 435479, 131046, 74893, 465510, 770950, 770951, 770949]",[6440],https://fr.web.img6.acsta.net/pictures/16/06/13/15/58/248495.jpg
232070,Dheepan,115,[13008],2015,['France'],3.7,3.8,"[731083, 71916, 25861, 246134, 22928, 519634, 623087, 141849, 264909, 220881, 747318, 139647, 404702, 38930, 210888, 231948, 398871, 731086, 731088, 747315, 747316, 463044, 747317, 747319, 747320, 747321, 747322, 747323, 747324, 747325, 747326, 747327, 747328, 747329, 175702]",[18521],https://fr.web.img2.acsta.net/pictures/15/07/22/17/07/420365.jpg
